"Entity","Code","Year","Per_capita_plastic_waste_kg_person_day_","GDP_per_capita","Population","Continent"
"Afghanistan","AFG",2010,NA,1957.02905273438,28189672,"Asia"
"Africa","",2010,NA,NA,1055233717,""
"Albania","ALB",2010,0.069,10749.4814453125,2913402,"Europe"
"Algeria","DZA",2010,0.144,10970.6923828125,35856348,"Africa"
"American Samoa","ASM",2010,NA,NA,54871,"Oceania"
"Andorra","AND",2010,NA,NA,71542,"Europe"
"Angola","AGO",2010,0.062,7692.43408203125,23364196,"Africa"
"Anguilla","AIA",2010,0.252,NA,13192,"North America"
"Antigua and Barbuda","ATG",2010,0.66,18206.015625,85710,"North America"
"Argentina","ARG",2010,0.183,23521.26953125,41100124,"South America"
"Armenia","ARM",2010,NA,9286.197265625,2946296,"Asia"
"Aruba","ABW",2010,0.252,34343.15234375,100354,"North America"
"Asia","",2010,NA,NA,4220041467,""
"Australia","AUS",2010,0.112,44914.98046875,22019166,"Oceania"
"Austria","AUT",2010,NA,51843.4296875,8362829,"Europe"
"Azerbaijan","AZE",2010,NA,14082.23828125,9237203,"Asia"
"Bahamas","BHS",2010,0.39,36547.4296875,373277,"North America"
"Bahrain","BHR",2010,0.132,44599.8046875,1213655,"Asia"
"Bangladesh","BGD",2010,0.034,2883.466796875,148391136,"Asia"
"Barbados","BRB",2010,0.57,15596.6171875,274717,"North America"
"Belarus","BLR",2010,NA,17300.703125,9731426,"Europe"
"Belgium","BEL",2010,0.08,47972.55859375,10877948,"Europe"
"Belize","BLZ",2010,0.172,7294.6630859375,322115,"North America"
"Benin","BEN",2010,0.043,2704.70556640625,9445716,"Africa"
"Bermuda","BMU",2010,0.252,88399.9140625,63466,"North America"
"Bhutan","BTN",2010,NA,8190.576171875,705523,"Asia"
"Bolivia","BOL",2010,NA,6612.80322265625,10223277,"South America"
"Bonaire Sint Eustatius and Saba","BES",2010,NA,NA,20245,"North America"
"Bosnia and Herzegovina","BIH",2010,0.144,10938.2890625,3811093,"Europe"
"Botswana","BWA",2010,NA,13126.21484375,2091666,"Africa"
"Brazil","BRA",2010,0.165,14873.2080078125,196353504,"South America"
"British Virgin Islands","VGB",2010,0.252,NA,27578,"North America"
"Brunei","BRN",2010,0.026,67753.421875,396064,"Asia"
"Bulgaria","BGR",2010,0.154,18160.607421875,7592271,"Europe"
"Burkina Faso","BFA",2010,NA,1716.35827636719,16116851,"Africa"
"Burundi","BDI",2010,NA,846.169128417969,9126612,"Africa"
"Cambodia","KHM",2010,0.066,2716.69970703125,14363534,"Asia"
"Cameroon","CMR",2010,0.046,3223.51000976562,19878044,"Africa"
"Canada","CAN",2010,0.093,44861.5234375,33963416,"North America"
"Cape Verde","CPV",2010,0.065,6200.34375,521219,"Africa"
"Cayman Islands","CYM",2010,0.252,66882.5078125,54095,"North America"
"Central African Republic","CAF",2010,NA,1201.35217285156,4660066,"Africa"
"Chad","TCD",2010,NA,1732.69152832031,11894734,"Africa"
"Channel Islands","OWID_CIS",2010,0.252,NA,NA,"Europe"
"Chile","CHL",2010,0.119,21262.466796875,17004166,"South America"
"China","CHN",2010,0.121,8884.587890625,1348191360,"Asia"
"Christmas Island","CXR",2010,0.252,NA,NA,"Asia"
"Cocos Islands","CCK",2010,0.252,NA,NA,"Asia"
"Colombia","COL",2010,0.144,11783.2998046875,44816104,"South America"
"Comoros","COM",2010,0.201,2878.26977539062,656032,"Africa"
"Congo","COG",2010,0.069,5169.16748046875,4437883,"Africa"
"Cook Islands","COK",2010,0.144,NA,17237,"Oceania"
"Costa Rica","CRI",2010,0.258,16830.435546875,4622250,"North America"
"Cote d'Ivoire","CIV",2010,0.103,3778.20849609375,21120040,"Africa"
"Croatia","HRV",2010,0.252,24500.068359375,4368680,"Europe"
"Cuba","CUB",2010,0.089,NA,11290420,"North America"
"Curacao","CUW",2010,0.252,28543.361328125,159392,"North America"
"Cyprus","CYP",2010,0.248,38296.69921875,1129693,"Europe"
"Czechia","CZE",2010,NA,33483.13671875,10464750,"Europe"
"Democratic Republic of Congo","COD",2010,0.045,865.684020996094,66391260,"Africa"
"Denmark","DNK",2010,0.047,50825.4140625,5550850,"Europe"
"Djibouti","DJI",2010,0.103,NA,919206,"Africa"
"Dominica","DMA",2010,0.149,12003.765625,68775,"North America"
"Dominican Republic","DOM",2010,0.144,12782.45703125,9775756,"North America"
"East Asia and Pacific","",2010,NA,11905.9638671875,NA,""
"Ecuador","ECU",2010,0.147,10340.970703125,14989581,"South America"
"Egypt","EGY",2010,0.178,10340.0732421875,87252416,"Africa"
"El Salvador","SLV",2010,0.147,7328.79833984375,6114039,"North America"
"Equatorial Guinea","GNQ",2010,0.144,34732.21875,1094538,"Africa"
"Eritrea","ERI",2010,0.045,NA,3147733,"Africa"
"Estonia","EST",2010,0.176,26015.74609375,1331535,"Europe"
"Eswatini","SWZ",2010,NA,7459.22802734375,1099926,"Africa"
"Ethiopia","ETH",2010,NA,1259.02258300781,89237800,"Africa"
"Europe","",2010,NA,NA,737409380,""
"Europe and Central Asia","",2010,NA,30791.908203125,NA,""
"European Union","",2010,NA,39006.31640625,NA,""
"Faeroe Islands","FRO",2010,0.252,NA,48432,"Europe"
"Falkland Islands","FLK",2010,0.252,NA,3206,"South America"
"Fiji","FJI",2010,0.189,10547.91015625,905176,"Oceania"
"Finland","FIN",2010,0.234,45874.66015625,5363279,"Europe"
"France","FRA",2010,0.192,42147.671875,62444568,"Europe"
"French Guiana","GUF",2010,0.144,NA,228469,"South America"
"French Polynesia","PYF",2010,0.252,NA,283795,"Oceania"
"Gabon","GAB",2010,0.054,14415.4462890625,1711117,"Africa"
"Gambia","GMB",2010,0.048,2346.72045898438,1937284,"Africa"
"Georgia","GEO",2010,0.068,9736.732421875,3836834,"Asia"
"Germany","DEU",2010,0.485,46999.23828125,81325088,"Europe"
"Ghana","GHA",2010,0.04,3828.41943359375,25574722,"Africa"
"Gibraltar","GIB",2010,0.252,NA,31289,"Europe"
"Greece","GRC",2010,0.2,33693.2109375,11033784,"Europe"
"Greenland","GRL",2010,0.252,NA,56374,"North America"
"Grenada","GRD",2010,0.325,13412.79296875,114058,"North America"
"Guadeloupe","GLP",2010,0.144,NA,403073,"North America"
"Guam","GUM",2010,0.252,NA,164916,"Oceania"
"Guatemala","GTM",2010,0.28,7335.98876953125,14543126,"North America"
"Guernsey","GGY",2010,0.252,NA,60811,"Europe"
"Guinea","GIN",2010,0.03,1870.80004882812,10270728,"Africa"
"Guinea-Bissau","GNB",2010,0.054,1747.23742675781,1567226,"Africa"
"Guyana","GUY",2010,0.586,9788.8486328125,747937,"South America"
"Haiti","HTI",2010,0.09,2900.90966796875,9842883,"North America"
"High income","",2010,NA,44326.75,NA,""
"High-income countries","",2010,NA,NA,1154843353,""
"Honduras","HND",2010,0.189,4866.97412109375,8450936,"North America"
"Hong Kong","HKG",2010,0.398,51360.96875,7132437,"Asia"
"Hungary","HUN",2010,NA,24486.041015625,9986832,"Europe"
"Iceland","ISL",2010,0.281,47457.62109375,318346,"Europe"
"India","IND",2010,0.01,4234.9794921875,1240613632,"Asia"
"Indonesia","IDN",2010,0.057,8286.732421875,244016176,"Asia"
"Iran","IRN",2010,0.144,13805.7041015625,75373864,"Asia"
"Iraq","IRQ",2010,0.103,8597.064453125,31264880,"Asia"
"Ireland","IRL",2010,0.43,52965.7890625,4524581,"Europe"
"Isle of Man","IMN",2010,NA,NA,83844,"Europe"
"Israel","ISR",2010,0.297,33864.23046875,7328439,"Asia"
"Italy","ITA",2010,0.134,42664.35546875,59822452,"Europe"
"Jamaica","JAM",2010,0.034,9435.7607421875,2733904,"North America"
"Japan","JPN",2010,0.171,38069.95703125,128105432,"Asia"
"Jersey","JEY",2010,NA,NA,96164,"Europe"
"Jordan","JOR",2010,0.144,11315.5029296875,6931263,"Asia"
"Kazakhstan","KAZ",2010,NA,20751.2578125,16627839,"Asia"
"Kenya","KEN",2010,0.027,3691.01293945312,41517896,"Africa"
"Kiribati","KIR",2010,0.103,1923.11389160156,108011,"Oceania"
"Kosovo","OWID_KOS",2010,NA,7627.8916015625,1792559,"Europe"
"Kuwait","KWT",2010,0.686,58810.40625,2943364,"Asia"
"Kyrgyzstan","KGZ",2010,NA,4141.0771484375,5483781,"Asia"
"Laos","LAO",2010,NA,4850.17529296875,6323425,"Asia"
"Latin America and Caribbean","",2010,NA,14853.96875,NA,""
"Latvia","LVA",2010,0.124,21176.279296875,2101537,"Europe"
"Lebanon","LBN",2010,0.094,19499.4140625,4995799,"Asia"
"Lesotho","LSO",2010,NA,2346.71337890625,2022752,"Africa"
"Liberia","LBR",2010,0.084,1465.55932617188,4019958,"Africa"
"Libya","LBY",2010,0.144,22539.892578125,6491991,"Africa"
"Liechtenstein","LIE",2010,NA,NA,35948,"Europe"
"Lithuania","LTU",2010,0.132,23942.759765625,3139021,"Europe"
"Low and middle income","",2010,NA,7790.23291015625,NA,""
"Low income","",2010,NA,1756.96655273438,NA,""
"Low-income countries","",2010,NA,NA,521168124,""
"Lower middle income","",2010,NA,5241.37451171875,NA,""
"Lower-middle-income countries","",2010,NA,NA,2914138506,""
"Luxembourg","LUX",2010,NA,114343.984375,507075,"Europe"
"Macao","MAC",2010,0.368,118085.5703125,557307,"Asia"
"Madagascar","MDG",2010,0.016,1553.40502929688,21731052,"Africa"
"Malawi","MWI",2010,NA,1374.5712890625,14718426,"Africa"
"Malaysia","MYS",2010,0.198,20536.373046875,28717728,"Asia"
"Maldives","MDV",2010,0.322,16305.162109375,361579,"Asia"
"Mali","MLI",2010,NA,2082.9619140625,15529183,"Africa"
"Malta","MLT",2010,0.214,32867.9609375,418758,"Europe"
"Marshall Islands","MHL",2010,0.192,3595.1748046875,53431,"Oceania"
"Martinique","MTQ",2010,0.252,NA,392183,"North America"
"Mauritania","MRT",2010,0.045,4671.642578125,3419462,"Africa"
"Mauritius","MUS",2010,0.23,16797.81640625,1283347,"Africa"
"Mayotte","MYT",2010,NA,NA,211794,"Africa"
"Mexico","MEX",2010,0.087,17790.01171875,112532400,"North America"
"Micronesia (country)","FSM",2010,0.103,3659.638671875,107606,"Oceania"
"Middle East and North Africa","",2010,NA,14834.15234375,NA,""
"Middle income","",2010,NA,8391.6435546875,NA,""
"Moldova","MDA",2010,NA,8550.1708984375,3678186,"Europe"
"Monaco","MCO",2010,0.252,NA,33203,"Europe"
"Mongolia","MNG",2010,NA,7470.78076171875,2702527,"Asia"
"Montenegro","MNE",2010,0.144,16764.33984375,631048,"Europe"
"Montserrat","MSR",2010,0.144,NA,4960,"North America"
"Morocco","MAR",2010,0.073,6281.12353515625,32464866,"Africa"
"Mozambique","MOZ",2010,0.015,1027.20886230469,23073732,"Africa"
"Myanmar","MMR",2010,0.075,2762.61352539062,49390988,"Asia"
"Namibia","NAM",2010,0.144,9031.16015625,2099275,"Africa"
"Nauru","NRU",2010,0.144,6688.64990234375,10262,"Oceania"
"Nepal","NPL",2010,NA,2703.41479492188,27161572,"Asia"
"Netherlands","NLD",2010,0.424,52032.98828125,16617121,"Europe"
"Netherlands Antilles","ANT",2010,0.252,NA,311534,"North America"
"New Caledonia","NCL",2010,0.252,NA,261435,"Oceania"
"New Zealand","NZL",2010,0.331,37657.14453125,4346345,"Oceania"
"Nicaragua","NIC",2010,0.143,4611.78515625,5855736,"North America"
"Niger","NER",2010,NA,1036.16076660156,16647545,"Africa"
"Nigeria","NGA",2010,0.103,4932.3349609375,160952864,"Africa"
"Niue","NIU",2010,0.252,NA,1838,"Oceania"
"Norfolk Island","NFK",2010,0.103,NA,NA,"Oceania"
"North America","",2010,NA,53386.15625,543052879,""
"North Korea","PRK",2010,0.054,NA,24686436,"Asia"
"North Macedonia","MKD",2010,NA,13514.9814453125,2093828,"Europe"
"Northern Mariana Islands","MNP",2010,0.252,NA,54109,"Oceania"
"Norway","NOR",2010,0.28,61353.4765625,4889747,"Europe"
"Oceania","",2010,NA,NA,37103109,""
"Oman","OMN",2010,0.084,38678.96484375,2881915,"Asia"
"Pakistan","PAK",2010,0.103,3906.8740234375,194454496,"Asia"
"Palau","PLW",2010,0.144,15227.615234375,18563,"Oceania"
"Palestine","PSE",2010,0.063,5411.06640625,3992283,"Asia"
"Panama","PAN",2010,0.145,21343.333984375,3623622,"North America"
"Papua New Guinea","PNG",2010,0.103,3406.64404296875,7583269,"Oceania"
"Paraguay","PRY",2010,NA,10415.65625,5768618,"South America"
"Peru","PER",2010,0.144,10066.4677734375,29229576,"South America"
"Philippines","PHL",2010,0.075,5918.373046875,94636704,"Asia"
"Poland","POL",2010,0.097,23996.140625,38597356,"Europe"
"Portugal","PRT",2010,0.265,31798.154296875,10588401,"Europe"
"Puerto Rico","PRI",2010,0.252,32960.69921875,3717920,"North America"
"Qatar","QAT",2010,0.16,95908.3125,1713512,"Asia"
"Reunion","REU",2010,0.144,NA,890144,"Africa"
"Romania","ROU",2010,0.042,20303.1484375,20335212,"Europe"
"Russia","RUS",2010,0.112,23961.220703125,143242592,"Europe"
"Rwanda","RWA",2010,NA,1507.1650390625,10309032,"Africa"
"Saint Barthlemy","",2010,NA,NA,9011,""
"Saint Helena","SHN",2010,0.144,NA,5338,"Africa"
"Saint Kitts and Nevis","KNA",2010,0.654,22223.9140625,47429,"North America"
"Saint Lucia","LCA",2010,0.522,14137.58984375,170950,"North America"
"Saint Martin (French part)","MAF",2010,NA,NA,36478,"North America"
"Saint Pierre and Miquelon","SPM",2010,0.252,NA,6075,"North America"
"Saint Vincent and the Grenadines","VCT",2010,0.221,11447.6171875,109324,"North America"
"Samoa","WSM",2010,0.103,6010.083984375,194686,"Oceania"
"San Marino","SMR",2010,NA,72038.1171875,31631,"Europe"
"Sao Tome and Principe","STP",2010,0.103,3357.47021484375,182154,"Africa"
"Saudi Arabia","SAU",2010,0.156,44036.765625,29411930,"Asia"
"Senegal","SEN",2010,0.103,2797.11010742188,12530128,"Africa"
"Serbia","SRB",2010,NA,14510.9697265625,7653749,"Europe"
"Seychelles","SYC",2010,0.358,20960.748046875,92424,"Africa"
"Sierra Leone","SLE",2010,0.041,1406.17541503906,6436699,"Africa"
"Singapore","SGP",2010,0.194,78294.03125,5163585,"Asia"
"Sint Maarten (Dutch part)","SXM",2010,0.252,43543.890625,33056,"North America"
"Slovakia","SVK",2010,NA,25528.74609375,5396428,"Europe"
"Slovenia","SVN",2010,0.145,33350.61328125,2057294,"Europe"
"Solomon Islands","SLB",2010,0.103,2439.8623046875,540402,"Oceania"
"Somalia","SOM",2010,0.054,NA,12026650,"Africa"
"South Africa","ZAF",2010,0.24,13618.7255859375,51784928,"Africa"
"South America","",2010,NA,NA,393078326,""
"South Asia","",2010,NA,4076.36791992188,NA,""
"South Korea","KOR",2010,0.112,34394.4921875,48813036,"Asia"
"South Sudan","SSD",2010,NA,NA,9714425,"Africa"
"Spain","ESP",2010,0.277,37319.4765625,46572776,"Europe"
"Sri Lanka","LKA",2010,0.357,9126.865234375,20668556,"Asia"
"Sub-Saharan Africa","",2010,NA,3658.10205078125,NA,""
"Sudan","SDN",2010,0.103,4680.77099609375,33739932,"Africa"
"Suriname","SUR",2010,0.163,18840.369140625,546085,"South America"
"Svalbard and Jan Mayen","SJM",2010,NA,NA,2400,"Europe"
"Sweden","SWE",2010,0.048,47791.37109375,9381722,"Europe"
"Switzerland","CHE",2010,NA,65819.734375,7822444,"Europe"
"Syria","SYR",2010,0.178,NA,22337558,"Asia"
"Taiwan","TWN",2010,0.252,NA,23083086,"Asia"
"Tajikistan","TJK",2010,NA,2390.02221679688,7621785,"Asia"
"Tanzania","TZA",2010,0.023,2006.97131347656,45110532,"Africa"
"Thailand","THA",2010,0.144,14399.044921875,68270488,"Asia"
"Timor","TLS",2010,NA,2931.431640625,1088492,"Asia"
"Togo","TGO",2010,0.057,1625.54541015625,6571862,"Africa"
"Tokelau","TKL",2010,0.103,NA,1389,"Oceania"
"Tonga","TON",2010,0.223,5166.93212890625,107401,"Oceania"
"Trinidad and Tobago","TTO",2010,0.29,28879.287109375,1410297,"North America"
"Tunisia","TUN",2010,0.144,10789.6123046875,10895063,"Africa"
"Turkey","TUR",2010,0.212,20027.666015625,73195352,"Asia"
"Turkmenistan","TKM",2010,NA,8616.8896484375,5267975,"Asia"
"Turks and Caicos Islands","TCA",2010,0.252,NA,29751,"North America"
"Tuvalu","TUV",2010,0.144,3281.50219726562,10570,"Oceania"
"Uganda","UGA",2010,NA,1873.51379394531,32341724,"Africa"
"Ukraine","UKR",2010,0.103,12221.4404296875,45683024,"Europe"
"United Arab Emirates","ARE",2010,0.199,54921.796875,8481775,"Asia"
"United Kingdom","GBR",2010,0.215,42147.765625,62760048,"Europe"
"United States","USA",2010,0.335,54315.9140625,311182848,"North America"
"United States Virgin Islands","VIR",2010,NA,NA,106154,"North America"
"Upper middle income","",2010,NA,12248.9248046875,NA,""
"Upper-middle-income countries","",2010,NA,NA,2364144387,""
"Uruguay","URY",2010,0.252,19293.740234375,3352653,"South America"
"Uzbekistan","UZB",2010,NA,4953.96142578125,28614234,"Asia"
"Vanuatu","VUT",2010,0.295,3088.97875976562,245464,"Oceania"
"Vatican","VAT",2010,NA,NA,783,"Europe"
"Venezuela","VEN",2010,0.252,NA,28715026,"South America"
"Vietnam","VNM",2010,0.103,5089.4111328125,87411016,"Asia"
"Wallis and Futuna","WLF",2010,NA,NA,13167,"Oceania"
"Western Sahara","ESH",2010,NA,NA,413307,"Africa"
"World","OWID_WRL",2010,NA,13892.3330078125,6985603072,""
"Yemen","YEM",2010,0.103,NA,24743944,"Asia"
"Zambia","ZMB",2010,NA,3125.52880859375,13792095,"Africa"
"Zimbabwe","ZWE",2010,NA,2849.07934570312,12839774,"Africa"
